MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;mpe;mape;mdape;smape;smdape;mase;rmspe;rmsse;mre;rae;mrae;std_ae;std_ape;val_mse;val_rmse;val_nrmse;val_mae;val_mpe;val_mape;val_mdape;val_smape;val_smdape;val_mase;val_rmspe;val_rmsse;val_mre;val_rae;val_mrae;val_std_ae;val_std_ape;loss;val_loss
TCN_11;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;206969.23;454.93872;0.020480743;323.3188;0.0033033586;0.011383832;0.008494619;1.1433360166847706;0.008500115;1.3902048;0.01605628;1.9561433;1098131100.0;0.08460641228083624;4377996000.0;2406.338786620682;0.08655974514164046;210468.7;458.76868;0.020672705;328.1528;0.0037337416;0.011258588;0.008505959;1.1302407830953598;0.008513027;1.3950385;0.015740693;1.9503107;1712096300.0;0.08167282661204646;4520907300.0;2378.823980862246;0.08349243710181514;[0.2726842544832229, 0.10689615497232705, 0.09176615478589699, 0.08367544574640526, 0.0782749874716119, 0.07471464856169245, 0.07172882030715869, 0.06944488281197203, 0.06768763351341389, 0.06590720417171994, 0.06529782576597667, 0.06409791428143637, 0.06292210558642156, 0.062049195742150724, 0.0614021292013448];[0.1299166104380243, 0.11094613392234082, 0.09805560205800037, 0.09188315695162622, 0.08516067031719914, 0.0852209202002367, 0.0791343528964476, 0.07456090551571992, 0.07465861877456881, 0.07861969259367686, 0.0685718533475455, 0.07178671715388638, 0.06908741989461566, 0.0672221246083733, 0.07204908244093104]
TCN_12;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;294015.88;542.2323;0.024410583;377.87955;0.0010796308;0.013349781;0.009453058;1.338621973991394;0.009453408;1.6248049;0.01906645;2.3314881;-697862700.0;0.09888393883745836;5398045700.0;3159.9990784684633;0.1109517492518038;323234.12;568.5368;0.025618998;379.57645;0.0010086596;0.0131126335;0.009033369;1.3145925477147102;0.00903156;1.61365;0.019512333;2.416956;232687100.0;0.09447148848476006;5457559000.0;3277.2908341513066;0.11238118329367933;[0.5386497615405048, 0.1598955298710852, 0.1308257674273925, 0.11550315298252453, 0.10364844668921265, 0.09630535966721859, 0.09021964708472371, 0.08562128820461973, 0.0811115235580597, 0.07821213255835491, 0.07532069813396768, 0.07302147284955685, 0.07094080368634292, 0.06907928681611306, 0.06741118731600047];[0.21915998252015137, 0.15590860809345924, 0.14225825992038027, 0.13021335780465051, 0.12608300826943006, 0.11086134936731, 0.1023073326857045, 0.10174899304799605, 0.09906323356171177, 0.09507742862898154, 0.09041891824417618, 0.08950219800317902, 0.08329036964537347, 0.08367824605231727, 0.08338976829796932]
TCN_13;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;201849.52;449.27667;0.020225843;322.12885;-0.0010678879;0.01145446;0.008523394;1.1462665162980556;0.008517789;1.3850882;0.016095933;1.9317981;-1470562400.0;0.08429503219061928;4442806300.0;2790.5057196636017;0.09977028687360143;197673.62;444.605;0.020034472;318.6325;-0.0012056079;0.011070213;0.008268941;1.105956081300974;0.008265438;1.354566;0.015584067;1.8900981;-1042915100.0;0.07930335474606874;4296500700.0;2773.5094740376962;0.09700887378443944;[1.4045811683025533, 0.19461840552954945, 0.14711247900982943, 0.12481771202092824, 0.10746799744662394, 0.09668789691937976, 0.08817657711538766, 0.08127664788073441, 0.07583424949143135, 0.07195471568542709, 0.06921918712643771, 0.06666985991591508, 0.06499291356351222, 0.06316327415771573, 0.062069198893207826];[0.27647167629886127, 0.1894926766573955, 0.14501502006682243, 0.12276514262369234, 0.10606388619384653, 0.1032351719462164, 0.09047725668392069, 0.08529074381689425, 0.08238811288891629, 0.07879226823171524, 0.0810956760599422, 0.07931659124738161, 0.07240892021594215, 0.0693846298557866, 0.06998861237961874]
TCN_14;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;196390.17;443.1593;0.019950448;322.3707;-0.00016572009;0.011468446;0.008689046;1.148329209536314;0.008684346;1.3861282;0.015910959;1.9054952;-922851500.0;0.08435832226427188;4330246700.0;2706.198255943945;0.09655977078410148;199715.4;446.8953;0.020137675;321.05463;-0.0006828011;0.0111752795;0.008494835;1.1174744926393032;0.008489309;1.3648629;0.015719159;1.8998352;-295312160.0;0.07990619340649968;4396303000.0;2758.6275520277272;0.09640510302378484;[2.0618159001754375, 0.17763830082327875, 0.13156643329671627, 0.11194850814759114, 0.1006760506441803, 0.09282169800835988, 0.08448784757824578, 0.07935030972363853, 0.07428346356570371, 0.07075715712326547, 0.06778151475529268, 0.06558694597873566, 0.06346232361072074, 0.06151249488671703, 0.05998732237424027];[0.2478999329387014, 0.17159124922106955, 0.12907959350712223, 0.11578122034562, 0.1067705229507967, 0.10586541563525204, 0.09137986831741246, 0.08625655485692556, 0.08091566106577909, 0.08006078869454315, 0.07833685842570494, 0.07029541789882726, 0.07013566542686549, 0.06524833352277656, 0.07052030111799734]
TCN_15;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;268120.97;517.804;0.023310855;363.07697;-0.0009143042;0.012843979;0.0092682745;1.2847235426306725;0.009264434;1.5611569;0.018252274;2.226451;-797582460.0;0.09501038329066315;5117501400.0;3143.607052874956;0.111886578145402;298993.9;546.80334;0.02463966;367.07224;-0.00082197034;0.012680929;0.0089290915;1.2674723751842976;0.008928457;1.5604923;0.018764291;2.3245628;-711953900.0;0.09135935673252056;5397069300.0;3267.6634387613067;0.11318255312212595;[2.3090446431880367, 0.25289394708474394, 0.1884131773011763, 0.1596994863379392, 0.1387250188833057, 0.12385608051354281, 0.11176368341990334, 0.10228662824604967, 0.09429315904006681, 0.08666449458643563, 0.08149449100524708, 0.07788312066535717, 0.07376661125271024, 0.07093555616067584, 0.06835518630401043];[0.3545206581270936, 0.22425805216938238, 0.1864235023035384, 0.16875390902851736, 0.1543967832907772, 0.14575186402908122, 0.11800731964462813, 0.12094127095686558, 0.10708641096589927, 0.10211929955944389, 0.09305068894744464, 0.09609733987052846, 0.08805137298957476, 0.08575704381287837, 0.08062832986976069]
TCN_16;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;206529.75;454.45544;0.020458985;316.78323;0.0026789904;0.011317714;0.0081739295;1.1376895010471344;0.0081764385;1.3621032;0.016296802;1.9540657;144217020.0;0.08289618297149456;4334829600.0;2496.5582350191326;0.08940357621305647;198789.78;445.8585;0.020090956;316.28992;0.0028856406;0.011059032;0.008108208;1.1106452904641628;0.0081139095;1.3446072;0.015722781;1.8954275;847447000.0;0.07872031755302734;4460768000.0;2434.673929291515;0.08565365051523093;[7.764643207615676, 0.4008439269314592, 0.250146174540494, 0.1926768335550471, 0.1605340143394527, 0.1421781766365745, 0.12252363324995597, 0.11033984641067138, 0.0996384071235521, 0.08819599860054103, 0.07828323123706166, 0.07181555183331106, 0.06703695866183429, 0.06415344260229451, 0.06148619133810551];[0.5663227724507985, 0.32530663560514583, 0.2381824966998794, 0.2010403364332999, 0.170080148446661, 0.14913298846729736, 0.13580681720902854, 0.12891255428471443, 0.10454295166881739, 0.08750804408714029, 0.084021894226005, 0.08229130417332102, 0.07178055199041758, 0.06918129862443498, 0.06942409340386987]
TCN_17;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;211780.02;460.19562;0.020717401;325.33;0.0012242596;0.011674043;0.008649403;1.1713095009326935;0.008648215;1.3988525;0.016793678;1.978748;166986220.0;0.08513270600134763;4517084700.0;2670.1876735200754;0.09671399608363553;205357.4;453.1638;0.020420142;321.75656;0.0012249758;0.011267624;0.008395072;1.1291733011603355;0.008395506;1.367847;0.01612053;1.9264838;-158308600.0;0.0800808887575075;4372062000.0;2626.204589988976;0.09285253611954855;[23.489438457070616, 0.6341013790291035, 0.35089036540870466, 0.21785769936195504, 0.16084611998939072, 0.13712743177674863, 0.11966176979822266, 0.10728951567106551, 0.09661950973177301, 0.08905847450994461, 0.08173975805043025, 0.07645321825243483, 0.0720659563822358, 0.06912479843311688, 0.06624833584715147];[0.9094598918511676, 0.4559952952623834, 0.2752993673533298, 0.1852663194752175, 0.152669436845683, 0.13688624369810395, 0.13028951323623372, 0.10981263878857941, 0.10866303905718325, 0.08822935939671087, 0.08344156438920984, 0.08029962092181163, 0.07714476859207955, 0.0773229416987123, 0.07065106063731262]
TCN_18;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;956782.8;978.1528;0.044035148;600.01953;0.00018850203;0.02110581;0.0124725;2.1075159311294556;0.012468808;2.5799615;0.034604225;4.2058573;-221170370.0;0.15701376980294332;7344295400.0;5519.73367317102;0.19808955178184642;1099592.2;1048.6145;0.047251914;642.719;0.0016804151;0.02191946;0.012878887;2.1967340260744095;0.012880148;2.732318;0.03541479;4.4578543;2122842200.0;0.15996414168709638;9389153000.0;5794.021839370643;0.19966186718040352;[0.2792731397434409, 0.18927781966390053, 0.16542421518713335, 0.15139724990289558, 0.14297750661991793, 0.1364477071027035, 0.13116779194024172, 0.12699321767404093, 0.12358656975777634, 0.12140856671364189, 0.11851498670217894, 0.1174241500518116, 0.11525538792245271, 0.11397174113357465, 0.11255242473556286];[0.2451816601198791, 0.21574565504336776, 0.19632230262136582, 0.1890676809111531, 0.18188456877998022, 0.1721391617785228, 0.16504330976835202, 0.15814471745891504, 0.15835532276306133, 0.1474881542230539, 0.15169965675549033, 0.1512133089190049, 0.14385789047637487, 0.1464608215859958, 0.1411624764762357]
TCN_19;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;388054.44;622.9402;0.028043946;431.3518;-0.0032351895;0.015211509;0.01068638;1.5199593268334866;0.010668619;1.8547246;0.021883367;2.6785157;-3071053800.0;0.11287661728751965;6288933000.0;3949.954462288915;0.13931625911304818;418608.03;646.99927;0.029154617;437.88654;-0.0035053252;0.015034893;0.010391487;1.5008604153990746;0.010377703;1.861537;0.022025973;2.7505143;-1692511000.0;0.10898408338161815;7188546600.0;4090.3560561083773;0.13999535971256447;[0.2720770220851517, 0.1466638071461116, 0.12483882443679767, 0.11410505121844437, 0.10490604725574942, 0.0984589972126303, 0.09351333742355626, 0.08979639393692132, 0.08660477117902642, 0.08376613396427172, 0.08158781700241997, 0.07993860570951346, 0.07848806568631432, 0.07725060570687238, 0.07630043677564351];[0.1900875636528927, 0.16804800048927349, 0.14783712867732463, 0.13839317473296783, 0.12218437352584066, 0.1190711561364437, 0.11268284802664671, 0.10089598058565566, 0.10248429945925833, 0.09968026362442146, 0.10297048620670665, 0.09482448800562335, 0.09404061053286016, 0.09416373840983366, 0.09620483501025143]
TCN_20;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;265877.38;515.633;0.023213118;373.80676;-0.004167355;0.013130425;0.009796008;1.3089468702673912;0.009783082;1.6072928;0.01802501;2.2171164;-2701437700.0;0.09781816525150587;5393436700.0;3455.0713720072526;0.12067383786185537;251574.19;501.57172;0.022601465;361.3294;-0.0041462793;0.012406356;0.009262522;1.2360300868749619;0.00924981;1.5360785;0.01717224;2.1322746;-2366846700.0;0.089930038513482;5435499000.0;3369.761772827624;0.11506816241969432;[0.27340929426668537, 0.12642570949771145, 0.1095709001022614, 0.10000336050938924, 0.0916186823908297, 0.08511353730724998, 0.07951812651541805, 0.07605956625822903, 0.0728722526061477, 0.07012990205804003, 0.06834076909022636, 0.0666091755623965, 0.06503913068206049, 0.06409681017213954, 0.06298035725240146];[0.1960821854994333, 0.12752746997689082, 0.11731945554162658, 0.10881361432874118, 0.09890580374628441, 0.10441358899728037, 0.08764672147162351, 0.08486512360944906, 0.08521454639621055, 0.08436676606156822, 0.08338581775518623, 0.07557859557783456, 0.08122563220691774, 0.07579481515690772, 0.0794302827963546]
TCN_21;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;350204.28;591.7806;0.026641183;408.76556;-0.0035917528;0.014466665;0.009995941;1.441989652812481;0.00998481;1.7576084;0.020980258;2.5445356;-2198418200.0;0.10696622439697798;5646875000.0;3772.167559407783;0.13446689562862296;407840.4;638.62384;0.02877721;418.51788;-0.003715547;0.014509293;0.009570655;1.444242987781763;0.0095613785;1.7791973;0.022307832;2.7149088;-1998027100.0;0.10416348481146946;6532089300.0;3997.917900250611;0.13994247876875063;[0.45796765126540745, 0.191368388003267, 0.15269962272667478, 0.1303418841269912, 0.11630165977819532, 0.10652773512167198, 0.09902232870465863, 0.0926871970244623, 0.08755202642347014, 0.08456031663731513, 0.08132180331916446, 0.07858477414175818, 0.07687018081022895, 0.0751618774448411, 0.073745697679835];[0.2602915526680595, 0.19627099639729434, 0.1730969733979604, 0.15643541098360292, 0.13294309912770694, 0.12360838847811986, 0.11577992667112953, 0.11038364468546996, 0.10430981159521253, 0.10025074902073822, 0.09818497391761477, 0.09561323551175568, 0.0989938862500281, 0.09143285249680067, 0.09197764659746363]
TCN_22;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;261014.77;510.89606;0.022999868;348.88474;0.00097315514;0.012272638;0.008687433;1.2301934882998466;0.008687776;1.5001332;0.017831163;2.1967487;-75188504.0;0.09129654435399388;5062169600.0;2938.4668359661205;0.10330796236305928;274956.7;524.3631;0.023628473;345.25378;0.0010064091;0.011898308;0.008257017;1.1917607858777046;0.008258451;1.467738;0.01792396;2.2291646;504879970.0;0.08592903262329299;4895697400.0;2986.670195669758;0.10263309206739427;[0.6617463727963301, 0.16951463564882482, 0.13577324019029338, 0.11771416431636915, 0.10581966893678492, 0.0970062226589104, 0.08964236530288046, 0.08316578961176078, 0.07867932627483318, 0.07462958540017048, 0.07190728219253914, 0.06876421876071523, 0.06651104882006678, 0.06421340633082424, 0.06289291534057104];[0.232887261631593, 0.1636671061054679, 0.14691211367773216, 0.13259134873679784, 0.11671558731592176, 0.11495605245747756, 0.09980833925068651, 0.09500547508184846, 0.09033031493367048, 0.0886354231739153, 0.08338823967260313, 0.08679902575914951, 0.08391938670565705, 0.08171640864080723, 0.07583376048867872]
